"secs","kph","rpm","watts","hr","torq","km","g"
768.6,28.6,87,133,114,5.8,5.846,2.61
771.12,28.5,112,109,114,4.7,5.866,2.02
773.64,28.6,85,115,120,5,5.887,2.67
776.16,28.9,87,164,120,7,5.907,2.64
778.68,29.1,90,133,120,5.6,5.926,2.57
781.2,28.5,95,136,121,5.9,5.948,2.38
783.72,28.4,83,166,122,7.2,5.967,2.72
786.24,28.3,84,142,123,6.2,5.987,2.67
788.76,27.7,87,150,125,6.7,6.006,2.53
791.28,28,87,228,126,10.1,6.025,2.55
793.8,27.8,86,211,127,9.4,6.045,2.57
796.32,28,82,182,128,8,6.064,2.71
798.84,27.9,81,179,129,7.9,6.084,2.73
801.36,27.8,90,160,129,7.1,6.103,2.45
803.88,28,83,149,129,6.6,6.122,2.68
806.4,28.3,83,160,130,7,6.144,2.71
808.92,28.3,87,145,129,6.3,6.163,2.58
811.44,28,86,141,128,6.2,6.183,2.58
813.96,28.1,82,152,128,6.7,6.202,2.72
816.48,28.6,84,144,129,6.2,6.221,2.7
819,28.2,88,142,129,6.2,6.243,2.54
821.52,26.6,85,219,130,10.2,6.26,2.48
824.04,24.6,74,205,130,10.3,6.277,2.64
826.56,22.5,65,250,130,13.7,6.295,2.75
829.08,21.7,66,232,131,13.2,6.31,2.61
831.6,20.8,63,249,132,14.8,6.325,2.62
834.12,20.8,63,238,132,14.1,6.338,2.62
836.64,21.8,69,188,137,10.6,6.353,2.51
839.16,20.9,69,183,138,10.8,6.368,2.4
841.68,21.1,71,189,138,11.1,6.383,2.36
844.2,21.2,71,169,138,9.8,6.398,2.37
846.72,21.3,73,171,138,9.9,6.413,2.32
849.24,21,71,152,138,8.9,6.428,2.35
851.76,20.8,71,187,138,11.1,6.441,2.33
854.28,20.5,71,167,138,10.1,6.456,2.29
856.8,19.2,64,244,138,15.7,6.469,2.38
859.32,19.3,67,255,138,16.3,6.484,2.29
861.84,18.5,64,251,138,16.7,6.497,2.29
864.36,18.4,63,238,128,15.9,6.51,2.32
866.88,19.3,67,199,142,12.8,6.523,2.29
869.4,20.3,69,174,142,10.6,6.538,2.33
871.92,22.1,77,143,142,8,6.553,2.28
874.44,22.9,106,124,142,6.7,6.568,1.71
876.96,23.4,76,103,141,5.4,6.586,2.44
879.48,23.9,87,107,141,5.5,6.601,2.18
882,24.1,86,99,141,5.1,6.618,2.22
884.52,24.2,86,104,140,5.3,6.635,2.23
887.04,24.4,91,80,139,4.1,6.652,2.13
889.56,24.1,84,73,139,3.7,6.67,2.28
892.08,23.6,87,75,139,4,6.687,2.15
894.6,23.4,82,146,133,7.7,6.702,2.26
897.12,23.5,86,185,132,9.7,6.719,2.17
899.64,24.1,85,190,132,9.7,6.737,2.25
902.16,24.1,87,218,132,11.2,6.752,2.2
904.68,24.5,83,193,132,9.7,6.769,2.34
907.2,24.6,86,237,132,11.9,6.786,2.27
909.72,25.2,84,193,129,9.5,6.805,2.38
912.24,25.4,90,161,129,7.8,6.823,2.24
914.76,25.3,95,204,129,9.9,6.84,2.11
917.28,25.4,86,123,129,6,6.857,2.34
919.8,25.5,88,177,129,8.6,6.877,2.3
922.32,25.9,84,144,130,6.9,6.894,2.45
924.84,26.1,89,160,130,7.6,6.911,2.33
927.36,26.2,84,137,129,6.4,6.93,2.48
929.88,26.4,83,167,129,7.8,6.948,2.52
932.4,26.4,95,113,130,5.3,6.967,2.21
934.92,25.9,88,138,130,6.6,6.984,2.34
937.44,26.6,89,129,130,6,7.004,2.37
939.96,28.3,88,189,130,8.2,7.023,2.55
942.48,29.8,106,76,130,3.2,7.045,2.23
945,29.9,90,71,130,2.9,7.064,2.64
